beach_name,water_temperature,air_temperature,turbidity,wave_height,rainfall,ph,dissolved_oxygen,conductivity,bacteria_count,water_quality_status
North Beach,23.12,26.19,3.11,0.21,15.49,7.15,8.06,34545.91,137.63,Safe
Coral Point,24.11,21.35,4.42,0.21,21.7,7.85,7.08,32048.97,143.31,Moderate Risk
Coral Point,24.83,27.79,4.62,0.77,12.26,6.92,9.48,37275.22,110.04,Safe
Palm Coast,15.83,16.76,3.86,0.99,3.51,7.57,7.61,48793.85,150.74,Moderate Risk
Coral Point,23.01,24.53,8.39,0.25,10.86,7.99,6.77,49896.75,143.36,Moderate Risk
Palm Coast,21.27,28.6,4.59,1.98,12.16,7.41,6.9,35989.37,138.88,Moderate Risk
North Beach,19.99,19.22,5.56,0.58,4.15,7.07,7.25,43997.51,106.85,Moderate Risk
Silver Shore,22.88,28.32,4.09,0.95,21.7,7.65,5.83,53923.8,169.39,Moderate Risk
Silver Shore,31.19,33.35,1.46,0.43,14.15,7.39,6.28,44699.52,68.02,Safe
Silver Shore,26.56,28.72,2.03,0.05,4.36,7.82,5.06,51239.77,49.25,Safe
Coral Point,21.72,27.09,1.2,0.71,3.5,7.29,6.09,48491.72,48.87,Safe
North Beach,26.29,30.31,6.68,1.58,11.93,7.33,7.31,36083.71,193.65,Moderate Risk
Coral Point,29.6,34.31,0.82,0.29,26.25,6.89,7.56,40765.12,105.83,Safe
Coral Point,27.7,33.6,3.02,0.05,1.25,7.66,4.82,42225.9,5.84,Safe
North Beach,24.24,26.24,2.54,0.16,7.96,7.54,7.04,42676.87,18.98,Safe
North Beach,21.41,22.58,2.49,0.98,10.7,7.18,7.88,47956.14,59.97,Safe
North Beach,26.79,26.54,2.66,0.66,14.56,7.67,7.0,44656.45,168.08,Moderate Risk
North Beach,25.57,26.1,9.41,1.21,10.79,7.96,6.44,22914.69,178.72,Unsafe
Silver Shore,27.58,39.43,0.51,0.52,3.26,7.52,6.71,33466.54,77.54,Safe
Blue Bay,26.54,33.27,7.73,0.86,1.06,7.69,6.55,27782.02,142.43,Moderate Risk
Blue Bay,28.2,27.14,2.84,0.35,3.92,7.7,6.44,43139.87,82.23,Safe
North Beach,21.86,20.89,5.95,0.17,10.49,7.18,7.41,43563.17,124.71,Moderate Risk
Blue Bay,29.27,33.72,3.56,0.86,2.9,8.32,9.97,43840.96,129.01,Safe
Blue Bay,24.79,29.43,1.32,0.99,16.42,7.44,6.31,35766.97,125.61,Safe
North Beach,32.3,36.95,8.2,0.3,4.71,7.83,6.82,46381.94,179.16,Moderate Risk
Blue Bay,21.24,23.48,7.4,1.48,2.7,7.87,7.14,46655.71,159.21,Moderate Risk
Coral Point,30.94,33.57,1.41,1.51,8.75,7.55,6.38,33841.53,82.97,Safe
Palm Coast,24.79,28.78,5.05,0.21,4.25,7.81,8.52,32470.75,81.19,Safe
Palm Coast,21.39,24.65,2.11,0.22,3.41,7.69,4.35,41999.14,43.99,Safe
North Beach,22.06,18.41,0.86,0.23,23.88,7.1,6.56,53646.58,170.61,Moderate Risk
Silver Shore,22.72,25.03,1.79,0.46,2.88,7.48,8.18,53048.33,55.0,Safe
North Beach,25.7,26.14,7.9,0.37,3.78,7.39,6.85,45662.13,97.65,Moderate Risk
Silver Shore,26.09,29.62,6.04,0.14,8.86,7.44,6.21,37255.02,133.15,Moderate Risk
Palm Coast,21.71,33.66,2.69,0.23,16.22,7.14,7.73,47764.48,115.14,Safe
North Beach,23.9,28.01,7.92,0.05,8.15,7.99,8.29,39059.24,145.21,Moderate Risk
Coral Point,32.57,34.63,7.04,0.05,5.89,8.16,7.45,37011.2,185.41,Moderate Risk
Blue Bay,30.91,36.68,1.79,0.11,26.02,7.94,6.24,28064.22,173.42,Moderate Risk
Silver Shore,25.75,30.19,9.17,1.91,3.6,8.04,7.75,42665.48,165.03,Moderate Risk
Blue Bay,24.15,28.41,2.52,1.75,3.62,7.48,6.72,37905.86,52.21,Safe
Blue Bay,24.48,29.3,2.8,0.9,2.93,7.38,8.09,42626.8,68.86,Safe
North Beach,26.45,35.62,0.53,0.3,7.71,7.33,8.98,27054.17,96.22,Safe
Blue Bay,19.91,19.52,2.08,0.1,2.05,7.83,4.07,43103.87,21.55,Safe
Coral Point,22.97,27.39,3.03,0.51,1.47,7.68,7.33,26197.71,151.38,Safe
Blue Bay,17.33,17.55,4.17,0.72,3.77,7.57,5.12,49071.61,98.93,Safe
North Beach,25.6,30.26,1.32,0.26,0.69,8.05,10.13,45392.29,55.56,Safe
Coral Point,26.59,26.83,1.86,0.69,6.85,7.74,6.64,40188.68,64.17,Safe
Palm Coast,22.07,23.82,9.3,0.16,7.73,7.31,8.1,45657.68,165.22,Moderate Risk
Blue Bay,30.3,32.41,6.74,0.31,8.93,7.36,7.16,35642.52,90.99,Moderate Risk
North Beach,19.1,25.02,7.56,0.41,11.26,7.84,6.24,42470.44,224.5,Moderate Risk
Palm Coast,18.14,23.9,3.22,1.78,3.88,7.96,6.09,47166.03,155.45,Moderate Risk
Palm Coast,24.9,24.16,4.26,0.23,14.77,7.79,9.1,21887.12,162.16,Moderate Risk
Silver Shore,28.19,31.35,5.12,0.72,13.62,8.26,8.35,39093.04,91.74,Moderate Risk
Coral Point,30.74,31.61,9.21,0.2,1.72,8.17,9.53,41852.81,134.52,Moderate Risk
Blue Bay,22.16,21.39,0.84,0.17,5.14,7.75,7.27,40724.09,105.4,Safe
North Beach,28.31,30.66,2.25,0.26,0.13,7.31,7.55,51471.16,81.02,Safe
Silver Shore,23.85,25.92,4.0,0.52,14.93,7.14,6.88,34694.64,96.07,Safe
Coral Point,23.31,33.59,3.58,1.62,11.1,7.46,6.86,37962.46,111.28,Moderate Risk
Silver Shore,27.53,31.83,1.84,0.29,17.72,7.86,5.95,29546.85,101.24,Safe
Coral Point,26.61,25.48,4.83,1.0,0.84,8.24,7.3,51816.86,78.11,Safe
Coral Point,17.69,19.0,2.32,1.85,8.35,7.75,6.25,40399.11,170.98,Moderate Risk
Blue Bay,29.91,35.97,3.39,0.63,3.15,8.01,7.73,39150.34,20.33,Safe
Coral Point,29.52,38.79,4.68,1.13,0.33,7.51,7.4,41658.86,121.59,Moderate Risk
Silver Shore,21.5,19.74,2.4,0.24,12.48,7.82,7.55,46135.53,58.2,Safe
Coral Point,25.58,22.94,5.71,0.71,1.28,7.89,9.21,44257.86,69.87,Safe
Blue Bay,25.98,34.59,6.42,0.85,7.43,6.91,7.15,59211.25,62.99,Moderate Risk
Blue Bay,25.04,29.21,1.9,0.13,3.11,7.46,8.11,44950.58,45.72,Safe
Silver Shore,21.8,22.19,2.3,0.22,6.33,7.93,9.66,38975.9,134.08,Safe
Palm Coast,21.31,25.92,1.5,0.4,11.39,7.7,8.77,38351.18,103.63,Safe
Palm Coast,23.9,18.99,3.34,0.26,6.35,7.18,8.58,39447.07,49.39,Safe
Coral Point,28.69,31.7,4.17,0.44,2.0,6.75,6.83,32238.06,122.84,Safe
North Beach,26.17,30.16,2.59,0.11,24.33,7.47,7.48,42259.12,186.01,Moderate Risk
Coral Point,22.52,28.29,4.09,1.72,3.94,7.57,5.62,47092.54,119.85,Moderate Risk
Silver Shore,27.09,27.05,2.26,1.07,2.5,7.29,7.8,38013.14,154.32,Safe
Silver Shore,12.61,15.86,2.31,3.93,4.99,7.65,7.53,36752.03,172.34,Moderate Risk
Silver Shore,28.6,28.82,4.32,0.15,0.87,7.78,7.23,51853.64,103.38,Safe
Silver Shore,17.04,20.81,2.44,0.73,2.76,7.83,8.43,32727.86,51.3,Safe
Silver Shore,22.55,22.86,3.21,0.26,4.18,6.78,5.75,28559.18,104.81,Safe
Blue Bay,19.52,21.3,4.43,0.17,6.82,7.14,9.16,34506.14,108.68,Safe
Palm Coast,18.82,18.83,4.05,1.03,5.67,7.49,8.28,31987.19,127.44,Safe
Silver Shore,28.64,33.6,2.28,0.54,8.37,7.8,7.12,44510.47,69.69,Safe
North Beach,22.13,27.7,6.85,0.37,5.19,7.77,7.02,39655.42,125.44,Moderate Risk
North Beach,25.39,27.68,0.1,0.65,13.49,7.77,7.78,40572.03,64.8,Safe
North Beach,23.81,26.93,4.97,0.23,9.65,7.47,9.03,49494.07,41.49,Safe
North Beach,25.91,24.56,4.0,0.22,7.81,7.49,7.32,37506.32,136.43,Safe
Blue Bay,24.31,26.41,1.33,0.27,15.31,7.35,7.37,47038.08,51.35,Safe
North Beach,18.87,21.72,3.64,1.18,6.06,7.87,7.22,51823.6,113.38,Safe
Silver Shore,27.99,38.85,2.04,1.11,3.74,7.28,9.34,39038.19,97.8,Safe
Coral Point,22.02,21.69,4.73,0.14,6.59,7.9,6.76,46790.65,113.89,Safe
North Beach,17.77,25.17,0.1,1.67,4.77,7.67,7.16,40428.18,72.27,Safe
Blue Bay,22.29,28.28,2.77,0.5,3.59,7.58,8.96,48006.64,90.62,Safe
Blue Bay,30.0,33.84,2.2,0.72,6.36,7.37,7.38,31785.32,105.88,Safe
North Beach,27.4,35.68,5.73,0.27,7.6,7.13,8.56,31304.17,142.9,Moderate Risk
Coral Point,22.61,26.72,0.55,0.52,9.26,7.37,6.11,39456.76,141.49,Safe
North Beach,22.6,26.77,3.47,0.17,17.26,7.48,6.95,36221.99,136.16,Moderate Risk
Blue Bay,22.71,25.55,4.93,0.25,6.94,6.77,8.98,38641.39,109.65,Safe
Palm Coast,32.31,38.98,10.31,0.97,5.3,7.53,6.39,40573.08,131.43,Moderate Risk
Silver Shore,25.53,31.82,2.31,0.98,12.23,7.92,7.02,46680.09,130.33,Safe
Blue Bay,25.72,26.84,4.22,0.75,2.25,7.8,7.51,39350.21,117.42,Safe
North Beach,28.12,27.16,0.59,0.35,0.7,7.43,6.01,36644.9,42.29,Safe
Silver Shore,24.96,27.35,3.35,0.14,8.25,7.62,6.7,39715.16,114.67,Safe
North Beach,22.96,23.56,7.17,1.29,3.92,7.41,7.34,37000.56,125.77,Moderate Risk
North Beach,23.21,26.02,10.37,1.04,4.23,7.65,7.26,35928.96,184.86,Moderate Risk
Palm Coast,23.71,30.43,4.5,0.06,2.19,8.14,8.74,31515.39,116.0,Safe
Silver Shore,23.85,25.48,0.79,1.0,14.28,7.94,9.05,42451.61,140.01,Safe
Silver Shore,26.91,29.78,7.92,0.37,0.75,7.78,6.17,38303.41,119.63,Moderate Risk
Palm Coast,24.21,27.38,0.8,0.87,8.98,7.43,7.33,48280.81,51.98,Safe
Blue Bay,26.93,32.48,1.21,0.11,5.37,7.86,8.01,32591.93,44.72,Safe
North Beach,23.68,19.94,8.35,0.28,18.1,7.01,9.02,38476.46,197.55,Moderate Risk
Coral Point,24.31,25.49,3.17,0.55,12.28,7.51,8.06,53783.9,200.97,Moderate Risk
North Beach,16.01,19.64,2.11,1.72,1.55,7.8,7.55,35892.54,78.32,Safe
North Beach,27.67,34.27,5.39,0.56,9.66,7.86,8.0,40462.53,142.28,Moderate Risk
Blue Bay,25.39,26.91,3.78,1.15,8.04,7.83,8.01,34097.01,97.55,Safe
North Beach,27.99,25.36,6.76,0.62,5.0,7.7,6.09,33235.22,89.87,Moderate Risk
Palm Coast,12.41,17.27,3.91,0.6,9.03,7.53,7.43,52057.52,88.0,Safe
Palm Coast,32.35,33.45,3.97,0.78,2.75,7.79,8.95,43111.76,21.16,Safe
Silver Shore,23.44,22.87,6.6,0.49,5.88,7.27,6.95,42868.91,170.61,Moderate Risk
Coral Point,28.43,29.56,3.14,0.95,5.46,7.3,7.36,30973.94,20.85,Safe
North Beach,19.84,22.29,1.62,0.18,2.32,7.62,6.91,44331.82,51.45,Safe
North Beach,26.45,27.64,5.6,0.49,3.93,7.66,4.42,49523.24,66.34,Safe
Blue Bay,19.79,16.17,2.69,1.83,3.28,6.96,7.22,49471.6,72.29,Safe
Palm Coast,21.5,27.2,4.13,1.18,7.6,7.76,7.56,46344.17,167.42,Moderate Risk
Coral Point,31.66,38.48,0.45,0.66,14.94,7.87,6.59,34658.34,108.84,Safe
Silver Shore,23.24,28.19,3.05,1.07,1.14,7.57,5.81,44035.3,51.69,Safe
Palm Coast,24.87,24.46,2.23,1.5,7.8,8.43,6.14,46339.3,87.94,Safe
Silver Shore,27.48,29.88,0.44,0.05,3.16,7.36,8.12,30336.12,23.8,Safe
Blue Bay,25.98,28.96,3.12,0.4,11.66,7.47,9.57,34711.68,108.46,Safe
Blue Bay,24.6,29.4,3.2,0.28,7.72,7.46,8.86,47773.02,101.05,Safe
North Beach,25.46,30.46,4.34,0.12,0.79,7.57,5.59,47694.3,145.2,Safe
Coral Point,33.61,34.41,7.09,2.01,6.36,7.48,8.23,31934.21,89.55,Moderate Risk
Silver Shore,23.77,27.02,6.37,0.81,4.75,7.11,6.4,47167.64,121.71,Moderate Risk
Palm Coast,24.8,29.18,2.36,1.04,1.31,7.41,6.5,42619.47,68.31,Safe
Blue Bay,28.2,35.57,3.84,0.29,3.2,7.57,6.65,47076.56,118.77,Safe
North Beach,28.42,33.54,4.77,0.4,6.11,8.03,8.05,37875.61,118.29,Safe
North Beach,28.75,34.12,2.41,0.51,3.3,8.37,8.35,46193.69,97.77,Safe
Silver Shore,26.55,29.81,0.87,0.7,12.77,8.07,7.08,47484.89,110.98,Safe
Blue Bay,19.43,26.66,2.87,0.92,4.71,7.33,7.1,39716.32,60.85,Safe
Coral Point,30.53,34.76,7.29,0.88,2.96,7.36,7.76,42115.39,168.89,Moderate Risk
Blue Bay,19.41,19.83,0.83,0.42,6.42,7.54,7.88,37784.61,99.83,Safe
Silver Shore,25.21,32.42,1.47,1.54,7.2,8.22,8.61,52735.65,132.51,Safe
Silver Shore,20.98,26.08,1.76,1.33,11.75,7.54,5.66,41218.23,158.95,Moderate Risk
Blue Bay,23.74,25.41,1.49,0.65,5.67,7.14,7.22,36006.84,93.93,Safe
Silver Shore,25.32,26.88,5.4,0.53,6.94,7.42,5.92,37347.13,168.54,Moderate Risk
Blue Bay,25.29,29.18,2.04,0.39,9.47,7.86,7.14,42824.01,105.83,Safe
Palm Coast,25.69,30.08,5.5,0.7,2.31,7.84,6.93,46896.65,97.39,Safe
Blue Bay,30.45,34.05,3.47,1.28,11.16,7.53,7.14,33317.13,126.95,Moderate Risk
Blue Bay,25.81,29.75,0.64,0.54,1.36,7.84,6.24,54009.79,54.19,Safe
Silver Shore,23.02,31.12,2.45,0.31,6.04,6.8,5.42,44006.39,65.03,Safe
Silver Shore,27.86,34.07,6.49,0.53,6.14,7.64,4.69,45031.96,180.91,Moderate Risk
North Beach,28.76,32.33,3.75,0.66,6.01,7.9,7.04,41368.27,111.39,Safe
North Beach,19.09,24.91,2.6,0.17,1.21,7.31,6.68,42125.18,68.84,Safe
Palm Coast,26.39,26.29,7.34,0.13,0.04,7.31,6.39,41036.16,117.08,Moderate Risk
North Beach,26.8,31.0,1.35,0.32,4.06,6.95,8.79,48615.67,170.98,Safe
Blue Bay,22.81,31.24,2.1,1.54,7.4,8.16,6.17,41948.46,67.11,Safe
Silver Shore,29.5,31.85,6.1,1.23,16.62,7.35,8.9,46985.83,138.87,Moderate Risk
North Beach,23.4,23.86,5.33,0.09,7.49,7.68,9.15,39179.99,61.8,Safe
North Beach,24.5,25.55,1.25,0.21,1.33,7.81,4.86,43271.66,46.4,Safe
Palm Coast,23.31,23.04,4.66,0.91,4.3,8.13,7.31,36774.52,116.58,Moderate Risk
Palm Coast,24.06,24.71,2.01,0.36,4.57,7.55,6.72,49907.43,58.76,Safe
Blue Bay,19.61,21.5,0.41,0.73,14.81,7.41,3.71,36580.64,83.4,Safe
Silver Shore,18.24,17.02,2.64,0.1,7.67,7.66,5.47,39887.63,91.63,Safe
Palm Coast,30.38,33.42,10.79,0.52,1.63,8.05,8.13,39952.76,129.4,Moderate Risk
North Beach,20.61,26.32,6.56,0.47,3.02,7.54,9.62,39699.32,123.75,Moderate Risk
Silver Shore,20.03,20.31,3.24,1.04,10.26,7.27,8.28,46696.22,156.86,Moderate Risk
Silver Shore,15.39,22.94,0.78,0.7,6.49,7.06,7.59,39941.72,100.39,Safe
North Beach,21.44,25.98,0.43,0.58,5.35,7.17,7.17,51060.51,98.26,Safe
Palm Coast,18.71,24.8,3.48,0.07,4.28,7.9,9.22,36679.91,120.18,Safe
North Beach,30.57,31.59,4.46,1.87,10.06,7.49,9.78,43100.95,152.8,Moderate Risk
Silver Shore,28.04,33.6,5.45,0.86,3.64,7.39,6.5,36957.39,106.36,Moderate Risk
Coral Point,21.25,20.97,5.03,0.27,2.89,7.35,4.8,44736.32,67.91,Safe
Coral Point,33.01,38.68,5.33,0.56,11.55,7.63,4.68,41896.33,118.67,Moderate Risk
Blue Bay,27.93,31.44,4.09,0.37,0.04,7.52,8.79,40992.1,60.2,Safe
North Beach,22.7,27.36,7.24,0.43,1.56,7.5,7.14,49725.09,138.85,Moderate Risk
North Beach,14.0,13.48,2.23,1.21,2.41,8.07,7.42,37746.78,97.18,Safe
Blue Bay,33.16,33.48,3.44,0.21,12.19,8.14,5.05,45812.35,135.58,Moderate Risk
Blue Bay,18.44,23.23,0.64,0.89,6.18,7.04,6.3,37001.76,37.17,Safe
Blue Bay,17.42,17.57,2.19,1.25,1.43,7.71,6.85,42732.45,132.15,Safe
Silver Shore,28.09,32.48,6.45,0.79,1.29,7.33,7.45,34228.76,96.66,Moderate Risk
North Beach,33.76,32.66,5.21,0.45,12.47,7.51,6.72,37693.64,93.89,Moderate Risk
Silver Shore,29.54,35.08,0.25,0.25,1.3,7.71,5.96,41466.07,30.77,Safe
Blue Bay,26.26,25.56,11.3,0.28,2.76,7.53,6.26,53795.22,238.12,Unsafe
North Beach,26.38,31.04,3.76,0.57,3.52,7.68,8.65,42655.23,77.59,Safe
Silver Shore,27.41,32.29,3.81,0.54,8.38,7.84,7.49,52755.34,96.09,Safe
Silver Shore,27.04,27.95,2.08,0.97,3.21,7.7,7.93,43432.1,75.41,Safe
Blue Bay,25.12,29.87,2.46,0.11,1.03,7.37,6.12,39483.95,57.42,Safe
North Beach,24.42,28.2,3.73,1.2,9.01,7.38,3.66,52005.82,93.5,Moderate Risk
Blue Bay,23.75,25.13,5.01,2.73,8.85,7.1,6.57,44840.61,164.42,Moderate Risk
North Beach,20.98,20.96,4.22,0.49,18.08,7.3,6.16,37822.31,180.88,Moderate Risk
Coral Point,22.88,19.99,2.21,0.43,6.71,8.29,7.62,45058.71,96.4,Safe
Palm Coast,17.23,21.28,1.6,0.46,17.43,7.32,11.14,40098.13,78.02,Safe
Palm Coast,23.61,21.91,1.5,0.56,3.51,7.18,8.03,29071.28,58.45,Safe
Palm Coast,20.05,23.33,6.78,0.4,10.8,7.71,10.48,48083.83,120.58,Moderate Risk
Blue Bay,19.59,21.8,6.25,0.05,16.97,7.56,7.88,49117.07,151.76,Moderate Risk
Coral Point,24.72,29.76,4.71,0.45,5.76,7.53,6.44,53946.62,151.67,Moderate Risk
North Beach,29.57,31.66,6.75,0.59,5.14,8.09,7.62,44743.93,118.51,Moderate Risk
Silver Shore,27.67,29.68,3.06,1.3,6.73,7.79,9.34,40383.3,105.69,Safe
North Beach,17.72,22.91,5.9,0.21,7.88,7.41,9.4,47427.43,180.86,Moderate Risk
Silver Shore,20.04,24.05,4.87,1.67,12.29,7.45,6.51,47523.83,181.42,Moderate Risk
North Beach,27.76,31.71,6.01,0.37,4.46,7.42,7.5,52648.83,131.07,Moderate Risk
Coral Point,20.07,24.48,1.37,0.23,5.51,7.91,5.48,41709.92,138.8,Safe
Silver Shore,23.1,21.49,0.2,0.86,3.1,7.49,8.19,40923.74,80.02,Safe
Blue Bay,26.2,31.47,4.05,0.34,3.08,6.97,9.06,37348.96,18.42,Safe
North Beach,20.13,24.96,2.57,0.49,2.05,7.58,7.25,45493.5,103.12,Safe
North Beach,24.42,24.37,0.32,0.52,3.33,7.06,6.4,31936.3,2.93,Safe
Silver Shore,18.66,20.93,7.49,0.83,1.76,8.36,7.63,47044.57,139.09,Moderate Risk
Blue Bay,21.59,24.48,6.26,0.48,11.16,7.26,7.7,45820.93,78.03,Moderate Risk
Blue Bay,25.28,27.88,4.3,0.44,9.27,7.54,7.3,45802.96,96.77,Safe
Coral Point,17.63,21.63,1.68,0.36,4.81,7.69,7.41,42898.46,60.34,Safe
Blue Bay,25.76,33.06,0.61,0.76,6.57,7.5,6.99,51964.36,49.63,Safe
Blue Bay,23.92,30.17,0.32,0.32,2.05,7.5,8.4,47667.96,38.39,Safe
Blue Bay,26.21,25.27,2.18,1.33,5.12,7.75,8.08,38054.0,131.99,Safe
Palm Coast,24.9,29.76,5.38,0.53,13.64,8.13,6.02,38170.34,114.3,Moderate Risk
Coral Point,29.46,36.44,2.59,0.08,13.27,7.87,5.99,36282.12,123.95,Safe
North Beach,24.5,28.66,4.75,0.66,18.36,8.12,6.89,45583.34,118.15,Moderate Risk
